frame,timestamp_ms,left_ear_visibility,right_ear_visibility,center_x,center_y,radius,out_of_reference
140,2333,0.9979,0.9968,151,139,20,0
141,2350,0.998,0.9968,151,139,20,0
142,2366,0.998,0.9968,151,139,20,0
143,2383,0.998,0.9968,151,139,20,0
144,2400,0.998,0.9968,151,139,20,0
145,2416,0.9981,0.9968,151,139,20,0
146,2433,0.9981,0.9968,151,139,20,0
147,2450,0.9981,0.9969,151,139,20,0
148,2466,0.9981,0.997,151,139,20,0
149,2483,0.9981,0.9969,151,139,20,0
150,2500,0.9981,0.997,151,139,20,0
151,2516,0.9981,0.9971,151,140,20,0
152,2533,0.9981,0.9971,151,140,20,0
153,2550,0.9981,0.9971,152,140,20,0
154,2566,0.9981,0.9972,152,140,20,0
155,2583,0.9981,0.9972,152,140,20,0
156,2600,0.9982,0.9974,152,140,20,0
157,2616,0.9982,0.9974,152,140,20,0
158,2633,0.9982,0.9975,152,140,20,0
159,2650,0.9982,0.9975,152,140,20,0
160,2666,0.9982,0.9976,152,140,20,0
161,2683,0.9983,0.9977,152,140,20,0
162,2700,0.9983,0.9978,152,141,20,0
163,2716,0.9983,0.9978,152,141,20,0
164,2733,0.9983,0.9979,152,141,20,0
165,2750,0.9983,0.9979,152,141,20,0
166,2766,0.9982,0.9979,152,141,20,0
167,2783,0.9981,0.9979,152,141,20,0
168,2800,0.9981,0.9979,152,141,20,0
169,2816,0.9981,0.9979,152,141,20,0
170,2833,0.998,0.9979,152,141,20,0
171,2850,0.998,0.9979,152,141,20,0
172,2866,0.9979,0.9979,152,140,20,0
173,2883,0.9978,0.9979,152,140,20,0
174,2900,0.9976,0.9978,152,140,20,0
175,2916,0.9975,0.9977,152,140,20,0
176,2933,0.9973,0.9975,152,140,20,0
177,2950,0.9971,0.9974,152,140,20,0
178,2966,0.9969,0.9973,152,140,20,0
179,2983,0.9968,0.9972,152,140,20,0
180,3000,0.9969,0.9972,152,140,20,0
181,3016,0.9969,0.9972,152,140,20,0
182,3033,0.9968,0.9971,152,140,20,0
183,3050,0.9968,0.9971,152,140,20,0
184,3066,0.9967,0.9969,152,140,20,0
185,3083,0.9967,0.9969,152,140,20,0
186,3100,0.9968,0.9969,152,140,20,0
187,3116,0.9968,0.997,151,140,20,0
188,3133,0.9968,0.997,151,140,20,0
189,3150,0.9968,0.9969,151,140,20,0
190,3166,0.9967,0.9968,151,140,20,0
191,3183,0.9966,0.9967,151,140,20,0
192,3200,0.9966,0.9966,151,140,20,0
193,3216,0.9965,0.9965,151,140,20,0
194,3233,0.9965,0.9963,151,140,20,0
195,3250,0.9963,0.9961,151,140,20,0
196,3266,0.9963,0.9958,151,140,20,0
197,3283,0.9962,0.9956,151,140,20,0
198,3300,0.9961,0.9953,151,140,20,0
199,3316,0.996,0.9951,151,140,20,0
200,3333,0.9959,0.9949,151,140,20,0
201,3350,0.9958,0.9945,151,140,20,0
202,3366,0.9956,0.9941,151,140,20,0
203,3383,0.9955,0.9937,151,140,20,0
204,3400,0.9953,0.9932,151,140,20,0
205,3416,0.9951,0.9927,151,140,20,0
206,3433,0.9947,0.9919,151,140,20,0
