frame,timestamp_ms,left_ear_visibility,right_ear_visibility,center_x,center_y,radius,out_of_reference
0,33,0.9998,0.9998,356,157,20,0
1,66,0.9997,0.9997,356,157,20,0
2,99,0.9996,0.9997,356,157,20,0
3,100,0.9997,0.9997,356,157,20,0
4,133,0.9996,0.9997,356,157,20,0
5,166,0.9994,0.9996,355,157,20,0
6,200,0.9994,0.9996,355,156,20,0
7,233,0.9993,0.9995,355,156,20,0
8,266,0.9992,0.9994,355,157,20,0
9,300,0.9992,0.9994,355,156,20,0
10,333,0.9992,0.9994,355,155,20,0
11,367,0.9993,0.9994,355,155,20,0
12,400,0.9993,0.9994,355,154,20,0
13,433,0.9993,0.9994,355,154,20,0
14,467,0.9992,0.9994,355,154,20,0
15,500,0.999,0.9991,355,154,20,0
16,533,0.9988,0.9986,355,154,20,0
17,567,0.9979,0.9976,355,154,20,0
18,600,0.9979,0.9976,355,154,20,0
19,633,0.9979,0.9976,355,154,20,0
20,667,0.9978,0.9976,355,155,20,0
21,700,0.9973,0.9965,355,155,20,0
22,734,0.997,0.9958,354,155,20,0
23,767,0.9971,0.9957,354,156,20,0
24,800,0.9969,0.9958,354,155,20,0
25,834,0.9969,0.9959,354,155,20,0
26,867,0.9971,0.996,353,155,20,0
27,900,0.9972,0.9962,353,154,20,0
28,934,0.9974,0.9965,352,154,20,0
29,967,0.9975,0.9968,351,154,20,0
30,1001,0.9977,0.9971,350,153,20,0
31,1034,0.9978,0.9973,349,152,20,0
32,1067,0.998,0.9974,348,152,20,0
33,1101,0.9981,0.9977,347,152,20,0
34,1134,0.9983,0.9979,346,152,20,0
35,1167,0.9985,0.9981,345,152,20,0
36,1201,0.9986,0.9983,345,151,20,0
37,1234,0.9987,0.9984,345,151,20,0
38,1267,0.9987,0.9985,345,150,20,0
39,1301,0.9988,0.9986,344,150,20,0
40,1334,0.999,0.9987,344,150,20,0
41,1368,0.999,0.9988,344,150,20,0
42,1401,0.9991,0.9989,344,150,20,0
43,1434,0.9991,0.999,345,150,20,0
44,1468,0.9992,0.9991,345,150,20,0
45,1501,0.9992,0.9991,345,150,20,0
46,1534,0.999,0.9991,348,149,20,0
47,1568,0.9989,0.999,351,148,20,0
48,1601,0.9989,0.9987,353,149,20,0
49,1634,0.9986,0.9979,354,149,20,0
50,1668,0.9985,0.9975,355,150,20,0
51,1701,0.9981,0.9961,355,152,20,0
52,1735,0.9979,0.9958,356,152,20,0
53,1768,0.9974,0.9956,357,152,20,0
54,1801,0.9957,0.9944,357,153,20,0
55,1835,0.9961,0.995,356,153,20,0
56,1868,0.9963,0.9954,354,155,20,0
57,1901,0.9961,0.9951,353,155,20,0
58,1935,0.9964,0.9955,353,155,20,0
59,1968,0.9968,0.996,353,156,20,0
60,2002,0.997,0.9964,355,155,20,0
61,2035,0.9968,0.9965,361,155,20,0
62,2068,0.9959,0.9964,365,155,20,0
63,2102,0.9956,0.9965,369,155,20,0
64,2135,0.9958,0.9967,372,155,20,0
65,2168,0.9962,0.997,374,155,20,0
66,2202,0.9965,0.9973,380,155,20,1
67,2235,0.9968,0.9976,384,155,20,1
68,2268,0.997,0.9978,387,154,20,1
69,2302,0.9972,0.998,389,154,20,1
70,2335,0.9975,0.9982,390,154,20,1
71,2369,0.9977,0.9983,390,154,20,1
72,2402,0.9979,0.9985,390,153,20,1
73,2435,0.9981,0.9986,390,154,20,1
74,2469,0.9982,0.9988,390,153,20,1
75,2502,0.9983,0.9988,390,153,20,1
76,2535,0.9984,0.9989,390,152,20,1
77,2569,0.9985,0.999,390,152,20,1
78,2602,0.9986,0.9991,390,152,20,1
79,2635,0.9986,0.9991,389,152,20,1
80,2669,0.9987,0.9992,387,151,20,1
81,2702,0.9985,0.9991,386,151,20,1
82,2736,0.9976,0.9989,384,149,20,1
83,2769,0.9974,0.9989,383,148,20,1
84,2802,0.9974,0.9989,380,147,20,1
85,2836,0.9975,0.999,378,146,20,1
86,2869,0.9976,0.9991,376,145,20,0
87,2902,0.9975,0.9991,374,142,20,0
88,2936,0.9975,0.9991,372,141,20,0
89,2969,0.9972,0.999,369,141,20,0
90,3003,0.997,0.9989,368,141,20,0
91,3036,0.9964,0.9986,367,141,20,0
92,3069,0.9965,0.9986,366,141,20,0
93,3103,0.9964,0.9986,365,140,20,0
94,3136,0.9961,0.9984,364,139,20,0
95,3169,0.9962,0.9984,364,139,20,0
96,3203,0.9961,0.9983,363,139,20,0
97,3236,0.9964,0.9984,362,137,20,0
98,3269,0.9967,0.9985,361,137,20,0
99,3303,0.9969,0.9986,361,136,20,0
100,3336,0.9971,0.9987,360,136,20,0
101,3370,0.9973,0.9988,359,136,20,0
102,3403,0.9974,0.9988,359,136,20,0
103,3436,0.9976,0.9989,356,136,20,0
104,3470,0.9978,0.9989,355,137,20,0
105,3503,0.9979,0.9989,355,137,20,0
106,3536,0.998,0.9989,355,138,20,0
107,3570,0.9981,0.9989,355,139,20,0
108,3603,0.9981,0.9988,355,140,20,0
109,3636,0.9982,0.9988,355,140,20,0
110,3670,0.9984,0.9988,354,141,20,0
111,3703,0.9985,0.9988,353,142,20,0
112,3737,0.9985,0.9988,352,143,20,0
113,3770,0.9986,0.9988,351,143,20,0
114,3803,0.9987,0.9988,351,143,20,0
115,3837,0.9987,0.9988,351,143,20,0
116,3870,0.9988,0.9988,350,143,20,0
117,3903,0.9988,0.9988,350,144,20,0
118,3937,0.9988,0.9988,349,144,20,0
119,3970,0.9989,0.9988,349,144,20,0
